Source,Relation,Target,Weight
the traffic along this route,CARRY_ON,for centuries without a break,1
ladakh and ladakhi,NOT_PROFIT_DIRECTLY,from the trade,1
commodities,BE_TRADED,neither produced in ladakh nor for the most part consumed there,1
"leh and its hinterland, nubra, and the dras-kargil belt",DEMAND_FOR_TRANSPORT_AND_SERVICES,the trade created,1
"merchants from central asia, kashmir and the punjab",SETTLE,in leh,1
hoshiarpuris,OPEN_RETAIL_SHOPS,in leh in the early years of this century,1
the hoshiarpuris,RETAIN_LINKS_WITH_THEIR_HOME_TOWN,and few of them have settled permanently in ladakh,1
some muslim merchants from sinkiang and kashmir,MARRY,ladakhi women,1
the radhu family,FORM_A_DISTINCT_COMMUNITY,known as arghon,1
"copper jars, plates and cooking pots of exquisite workmanship",BE_FOUND,in the houses or antique shops of leh,1
yarkand,TERMINI,khotan,1
khotan,TERMINI,sinkiang,1
the silk route,BETWEEN,china and the mediterranean,1
ladakh-kara-koram route,JOURNEY INVOLVING,minimum of two months travel time,1
"passes over the watershed in baltistan, hunza and chitral",WERE,"either encumbered with glaciers, or issued in impassable gorges; or else they were infested by bandits and slave-traffickers.",1
the tibetan authorities,WERE,paranoid about keeping out all foreigners,1
aksai chin and lingzithang,WERE,"uninhabited and totally lacking in any kind of facility for caravans, or even grass for the horses.",1
caravans,CONGREGATED,"at leh to prepare for the crossing of the karakoram, or to recover from it",1
serais and other facilities,WAS ESTABLISHED,which further reinforced the advantages of the route,1
commerce over the karakoram,EBBED AND FLOWED,"sensitive like all long-distance trades to political developments, but strong enough to survive all vicissitudes until the revolutions and other radical changes of this century destroyed its very base.",1
moorcroft,WAS INTENSELY INTERESTED IN,the establishment of commercial relations with yarkand through leh,1
east india company's government,WAS,"misplaced squeamishness and unnecessary timidity in neglecting the opportunity his presence afforded to do this, thus leaving the whole vast area of 'central asia, from china to the caspian sea', to which he conceived yarkand to be the gateway, wide open for economic penetration by russia.",1
moorcroft,CONCLUDED A COMMERCIAL AGREEMENT WITH THE LADAKHI AUTHORITIES,"who granted the former freedom to trade with and through ladakh at moderate duties, and permission to establish a permanent 'factory' or office at leh",1
ladakhi authorities,GRANTED,"the former freedom to trade with and through ladakh at moderate duties, and permission to establish a permanent 'factory' or office at leh",1
karakoram,TOLED OVER,yarkand and kashgar,1
diplomatic missions,CONCLUDED A COMMERCIAL TREATY WITH,yakub beg,1
british imperial adventure,HAD ONE OF THE MORE BIZARRE AND ENTERTAINING EPISODES IN,history,1
robert shaw,WAS FIRST BRITISH PERSON TO TRAVEL TO,yarkand and kashgar,1
trans-karakoram trade,HE WAS ACTIVELY ENGAGED IN,for fourteen years,1
daud mohammad,WAS ARRESTED FOR,samarkand,1
british joint commissioner,"SPENT THREE MONTHS OF EVERY YEAR IN LADAKH, BASED AT LEH",leh,1
aksakal,WORKING UNDER,british joint commissioner,1
traders,HAD THEIR INTERESTS LOOKED AFTER BY,british joint commissioner,1
trade routes,HE TOURED EXTENSIVELY OVERSEEING THE MAINTENANCE OF,them,1
srinagar-leh-karakoram route,WAS DESIGNATED A FREE HIGHWAY UNDER,commercial treaty of 1870,1
ladakhis,REFER TO IT AS,treaty road,1
merchandise,CONSISTED OF,commodities low in bulk and high in value,1
silk,WAS AN IMPORTANT ITEM OF COMMERCE,commerce,1
banaras brocades and other woven fabrics,WENT FROM INDIA TO CENTRAL ASIA,central asia,1
yarn,WENT FROM CENTRAL ASIA TO INDIA,india,1
western medicines,WAS AN IMPORTANT COMMODITY FROM INDIA,india,1
tea,WAS A MAJOR EXPORT FROM CENTRAL ASIA,central asia,1
charas,WAS THE ONLY COMMODITY THAT THE GOVERNMENT TOOK AN ACTIVE INTEREST IN,government,1
opium,WAS THE MAIN ITEM OF EXPORT FROM INDIA TO CHINESE CENTRAL ASIA,chinese central asia,1
bullion,WAS IMPORTED FROM YARKAND,yarkand,1
pack-horses,WERE USED FOR TRANSPORT ACROSS THE KARAKORAM,karakoram,1
yarkand breed,COULD CARRY LOADS OF ABOUT 100 KILOGRAMS,loads,1
bactrian camel,WAS USED AS A PACK-ANIMAL IN INNER ASIA,inner asia,1
glaciers,ENCUMBERED SOME OF THE PASSES,passes,1
three of the passes,WERE MORE OR LESS HEAVILY GLACIATED,"the khardung-la, the saser-la, and the sanju-la",1
yak were also used,TO PUSH THROUGH THE SNOW AND OPEN A TRAIL,over the passes at the beginning of the season,1
the people of the high-altitude villages,WERE ABLE TO SUPPLEMENT THE MEAGRE INCOME FROM THEIR FIELDS BY HIRING OUT,yak to passing caravans,1
"the pashm trade, and the subsistence trades in salt and food-grains","WERE CARRIED PARTLY ON HORSEBACK, BUT MORE COMMONLY BY DONKEYS AND SHEEP",none,1
the chang-pa who brought salt to chemrey,CARRIED IT ON THE SHEEP FROM THEIR FLOCKS —  THE HANDSOME BIG-BONED CHANG-LUK,none,1
lhasa-bound caravans,CONSISTED MOSTLY OF MULES,none,1
there were five major lines converging on leh,CONVERGING,none,1
the direct route up from the punjab,"WAS THE ONE THAT SO MANY VISITORS TAKE TODAY, VIA MANDI, THE KULU VALLEY, THE ROHTANG PASS, LAHUL, THE BARA- LACHA, LUNGA-LACHA AND TAG-LANG PASSES, TO UPSHI ON THE INDUS, AND THENCE DOWN THE RIVER TO LEH",none,1
this was moorcroft and trebeck’s route in 1820,WAS,none,1
the rivers were bridged with jhoolas,WERE BRIDGED WITH,a system of ropes made of plaited twigs suspended above the torrent,1
trekkers in the interior of the zanskar range,MAY EVEN TODAY BE OBLIGED TO NEGOTIATE PRECISELY THE SAME KIND OF JHOOLA,none,1
the journey from kaschimir to lhata [leh],MUST BE DONE ON FOOT,none,1
routes,BE APPALLING,the road,1
shamma,TAKE CARE TO SELECT,only the strongest of their donkeys,1
roads of western ladakh,BE SMALL BEER COMPARED TO,the hardships and difficulties of the way across the karakoram to yarkand,1
streams and rivers,"BE TORRENTS, SWOLLEN WITH MELT WATER FROM THE GLACIERS",rampaging down their gorges and impossible to negotiate,1
winter route,FOLLOW,the river valleys — up the shayok and down the yarkand river,1
travellers in summer,HAVE NO CHOICE BUT TO TACKLE,the mighty ranges head on,1
summer route,INCLUDE,"no fewer than six major passes, including the three glaciated ones, the khardung-la, the saser-la and the sanju-la",1
depsang plain,BE ONE OF THE WORST STAGES ON THE SUMMER ROUTE,"at about 5400 metres, the highest plateau of its size in the world",1
man and beast alike,PUT A TREMENDOUS STRAIN ON THE BREATHING,the rarefaction of the air,1
proper path,BE MARKED BY,the bleached bones of horses that had succumbed to altitude and exhaustion,1
route from leh to lhasa,"LEAD EITHER ALONG THE INDUS, OR OVER THE TAG-LANG-LA AND ACROSS THE RUPSHU PLATEAU, TO DEMCHOK ON THE BORDER; IT CONTINUE UP THE INDUS TO GARTOK, PAST THE PILGRIM DESTINATIONS OF MOUNT KAILASH AND LAKE MANASAROWAR, AND CONTINUE OVER THE MAYUM-LA AND DOWN THE TSANG-PO TO SHIGATSE AND LHASA",none,1
journey,"LIE LESS IN THE ROUGHNESS OF THE TRAILS THAN IN ITS VERY LENGTH, AND IN THE APPALLING WEATHER THAT MIGHT BE ENCOUNTERED ON THE WAY, TO SAY NOTHING OF THE BRIGANDS",none,1
leh merchants,BOTHERED TO PITCH TENTS,rainy spell,1
wildlife,HAD LITTLE FEAR OF,humans,1
streams,TEEMED WITH,fish,1
lo-pchak mission,WENT IN,early 1940s,1
cha-pa,STOPPED COMING,year or two later,1
karakoram route,SEALED IN,1949,1
caravans of refugees,CAME ACROSS,1953,1
traders,KEPT ON GOING TO WESTERN TIBET AND BRINGING BACK,pashm,1
pashm,BROUGHT BACK,western tibet,1
caravans of sheep,COMING REGULARLY INTO ZANSKAR FROM RUPSHU,mid-1980s,1
karakoram route,MIGHT HAVE TRAVERSED,dozens of times,1
dras,HAD A VIRTUAL MONOPOLY ON THE CARRYING TRADE BETWEEN SRINAGAR AND LEH,first half of this century,1
srinagar,FERRYED GOODS ON STRINGS OF HORSES BETWEEN,leh,1
mecca-bound hajis,CARRIED ACROSS THE PASS ON THEIR BACKS,yarkand,1
men,SPENT MUCH OF THEIR EARLY LIVES ON THE TRAILS,"caravans of horses, donkeys or sheep",1
traders of old,SERVED AS SUCCESSORS TO,trekkers and climbers,1
trade,ELEMENT_IN_THE_FABRIC_OF_LIFE,ladakh,1
desideri,ESTIMATE_CAPACITY,mountain horses,1
pashm,CARRIED_BY,men's backs,1
mughal empire,CLAIM_SUZERAINTY,ladakh,1
dogra conquest,TRANSFORM_VIA_ESTABLISHMENT,jammu and kashmir state,1
zanskar range,RUNS_ALONG,boundary_between_ladakh_and_india,1
sodh ilaqa,FALLS_IN,kargil district,1
leh district,INCLUDES,"indus valley from khaltse upstream, nubra and rupshu, and pang-gong lake",1
aksai chin,UNDER_ILLEGAL_OCCUPATION_BY_CHINA,none,1
ladakh's population,GROWN_DURING_PRESENT_CENTURY,"105,291 in 1971",1
ladakhis,RECOLLECTION,conditions,1
ladakh,HISTORY,began,1
figures,CAST,doubt,1
early writers,STATE,categorically,1
ladakhis,REAR,inadequate supply of food,1
kashmir,IMPORT,grain,1
punjab,IMPORT,grain,1
provinces south of the himalaya,IMPORT,grain,1
cunningham,GIVE,figures,1
ladakh,PRODUCE,enough food to sustain its inhabitants,1
peasant traders,BRING BACK,foodgrains,1
kishtwar,INCLUDE,circuit,1
ladakh,SUPPORT,local population and chang-pa in western tibet,1
baltistan,PRACTISE,polygamy,1
nineteenth-century travellers,ACCOUNT,prosperity of ladakh,1
environment,ACT AS A CHECK ON THE POPULATION,none,1
ladakhi,HAVE,high rate of infant and child mortality,1
ladakhis,MAKE THEIR FORTUNES,by time-honoured and universal methods,1
these families,INVEST,the tourist trade,1
sham ilaqa and sodh ilaqa,CONTRAST,chushul,1
ladakh,HAVE,capital,1
nomads,HERD,flocks of sheep and pashmina goats,1
dras,HARVEST,one crop,1
dras,HAVE,severe shortage of firewood,1
people of dras,BE SUBJECT TO,system of forced labour,1
king of ladakh and malik of sonamarg,GAIN,profits of their labour,1
zanskaris,BARTER,grain with rupshu chang-pa for salt,1
rangdum,HAVE,little going for it,1
pensi-la,BE OPEN,three months or so,1
suru valley,SHIVER UNDER,shoulder-high snow during winter,1
suru,FLOWS THROUGH,a gorge,1
mulbekh,PRODUCE,apricots,1
bodh kharbu,PRODUCE,apricots,1
shagkar-chigtan,PRODUCE,apricots,1
purig,MAKE UP,old principality of purig,1
leh,HOLD AN UNCHALLENGED POSITION AS,commercial and administrative capital of ladakh,1
nubra,BENEFIT FROM,position on the main caravan route to yarkand,1
lucerne,CULTIVATE,fields,1
wheat,GROWN BELOW,3000 metres,1
livestock-rearing,MAIN OBJECT OF,recycling crop residues back into the soil,1
dry closets,USE FOR FUEL,refuse,1
streams,UNFREEZE IN THE SPRING,fields,1
women,DO,weeding,1
women,DO,watering,1
women,UNDERTAKE,every kind of activity connected with agriculture,1
plants,HAVE,better heads,1
temperature,EXPOSED,plants,1
atmosphere,HAVE,dry atmosphere,1
water,IRRIGATE WITH,very cold water,1
fields,PREPARE,fields,1
plants,LOOK AFTER,growing plants,1
ladakh's villages,HAVE NOT CHANGED GREATLY BETWEEN,moorcroft's time and ours,1
studies,ESTABLISHED,"grain yields in zangskar are much better than most, and nearly as high as those obtained from intensive high input farming in europe",1
villages,KEEP,some livestock,1
livestock,PRODUCE,"meat, dairy products, and wool",1
farmers,KEEP,a cow or two,1
farmers,COMBINE IN THE OWNERSHIP OF A YAK,gon-yak or yul-yak,1
people's existence,REVOLVES AROUND,seasonal migration with their flocks from pasture to pasture,1
chang-pa,HAS ANIMAL,yak,1
chang-pa,HAS ANIMAL,chang-luk sheep,1
yak,PROVIDE,hair,1
yak,PROVIDE,milk,1
yak,PROVIDE,butter,1
yak,PROVIDE,meat,1
chang-luk sheep,PROVIDE,coarse wool,1
chang-luk sheep,PROVIDE,meat,1
ladakhis,HAVE DIET,tsampa,1
ladakhis,DRINK,butter-tea,1
ladakhis,DRINKING,chang,1
ladakhi physique,ADAPT,harsh environment,1
frederic drew,IMPRESSIONED_BY,porters' stamina,1
women,CARRIED_BAGGAGE,twenty-three or twenty-four miles with sixty pounds,1
ladakhis,IMPERVIOUS_TO_COLD,nomadic herdsman from chang-thang,1
nomadic herdsman from chang-thang,FEELED_OPPRESSED_BY,summer heat in leh and thickness of the atmosphere,1
ladakhis,ACQUIRED_QUALITIES,"natural selection, operating partly through high infant and child mortality",1
ladakh,HAD_GREATER_LONGEVITY,"past, compared to other places with a kinder environment",1
recent research and local doctors,INDICATED_HIGH_INCIDENCE_OF,respiratory disease,1
smoky cooking stoves in ill-ventilated kitchens,CAUSED_RESPIRATORY_DISEASE,partly no doubt of,1
wind,STIRRED_UP_GRUNTY_LOESSIC_DUST,ladakh's barren mountain slopes,1
men and women alike,SPENT_TIME_OUT_OF_DOORS,"even in winter, gratefully savouring the sun's warmth",1
ladakhis,HAD_INDIIGENOUS_SYSTEM_OF_MEDICINE,based on herbs and other natural substances,1
tibetan system,REGAINED_POPULARITY,"recent years, after losing popularity in the 1970s and early 80s",1
village children,LEARNED_ABOUT_SOIL_AND_CROPS,by being with their elders in the fields and pastures,1
stones,PROVIDE,material for dry-stone walls,1
walls,DIVIDE,fields,1
walls,BUTTRESS,steps,1
moorcroft,DESCRIBE,system of constructing walls,1
system of irrigation,ACHIEVE,technological feat,1
anonymous and unsung engineers,CONSTRUCT,channels,1
everyone,ACCEPT,obligation to contribute to maintenance of channels,1
villagers,SHARE,irrigation water by consensus,1
family,CALL ON NEIGHBOURS FOR HELP,build an extension or repair walls,1
neighbours,GIVE HELP,family in need,1
draught animals and ploughs,SHARE BETWEEN HOUSEHOLDS,none specified,1
families,TAKE TURNS,look after whole village's flocks,1
villagers,COMBINE TO GATHER CROPS,harvest time,1
winter,BE AN IDLE SEASON,in ladakh except chang-thang,1
animals,STAY CLOSE TO QUARTERS,dwelling-houses,1
migrant labour,TEND,punjab and the hill-stations of up,1
able-bodied men,TREK,down to the punjab and the hill-stations of up,1
public works programme,PROVIDE,work available during the six months' construction season,1
winter,PUNCTUATE,annual festivals of the various gompas,1
people,ATTEND,these traditional religious ceremonies,1
"nubra, zanskar and the suru valley",DICTATE,cycle of the seasons,1
man,OPERATE,"delicate balance between man, his physical environment, and the rhythm of the seasons",1
1991 census,NOT HOLD,jammu and kashmir,1
electorate,STRENGTH,for the election of 1996,1
hunia sheep,REFER TO,this animal,1
chang-luk,PROPERLY CALL,sheep bred on the high pastures of tibet and ladakh,1
polyandry and polo,BE,the product of a long blending of different races,1
kashmiri,BELONG_TO,aryan group of languages,1
dardish,LACK,grace and polish,1
kashmiri,ACQUIRE,wider vocabulary derived largely from sanskrit and persian,1
one spoken at dras,HAVE,strong admixture of kashmiri words and idioms,1
speech of the da-hanu people,BE INFLUENCED BY,ladakhi neighbours,1
dard communities,SEEM TO BE NOT SO MUCH,survivors of the presumed dard population that inhabited ladakh before the coming of the tibetans,1
those at dras,HAVE SETTLED,at various times in the relatively recent past,1
da-hanu people,TOOK PLACE BEFORE THE CONVERSION,migration,1
their buddhism,BE DIFFERENT FROM,that of central and eastern ladakh,1
their customs,DIFFER MARKEDLY FROM,those of the tibetan-descended population of those areas,1
bono-na festival,SHOW DISTINCT TRACES OF,pre-buddhist animistic religion known as bon-chos,1
brokpa,BE KNOWN AS,people of the pastures,1
leh,LOOK,tibetan,1
arghon community,PRIDE THEMSELVES ON THEIR DESCENT FROM,foreign merchants,1
ladakhis,"BE DESCRIBED AS A SIMPLE, CHEERFUL, NON-AGGRESSIVE PEOPLE",nineteenth-century travellers,1
ladakhi women,ENTER INTO UNIONS WITH,setters,1
ladakhis,BE DESCRIBED AS MUCH GIVEN TO TRUTH-TELLING,drew,1
crime rate,BE LOW,extraordinarily,1
attitudes,COMMUNICATED,many of the muslims of the leh area,1
kargil muslims,PREVAIL,traditionalist attitudes,1
polyandry,APPEAR,most striking feature of traditional family life,1
system,WAS,monomarital principle,1
family organization,REDUCES,possibilities for competition and conflict,1
ladakhis,ARE,as subject as anyone else to family tensions,1
patterns of behaviour,DERIVED,"from buddhist values, and from the 'firm sense of personal identity and social position in a community'",1
system,EXISTED,all over the tibetan cultural area,1
landed proprietors,HOLDING THEIR ESTATES DIRECT FROM THE GOVERNMENT,it was appropriate neither to landless labourers nor to the urban and commercial classes,1
government of jammu and kashmir,MADE ILLEGAL,polyandry and inheritance by primogeniture,1
laws,WERE LARGELY DISREGARDED IN LADAKH,for many years,1
polyandry,GRADUALLY DECREASED,almost absent in central ladakh,1
muslim law and practice,PROVIDE FOR THE DIVISION OF HOLDINGS BETWEEN ALL THE CHILDREN IN A FAMILY,there are no indications that it has led to a decrease in the size of holdings beyond the point at which they can be worked economically,1
two other social features,COMPLEMENTED,the system of polyandry,1
this system,IS ANALOGOUS TO,the practice of the tibetan dynasties,1
phar-spun,GIVES SOLIDARITY AND SUPPORT TO,every buddhist family,1
pha-spun members,TAKE OVER FROM,the grieving family,1
ladakhi villagers,DEVELOPED,systems of co-operation and mutual help,1
ladakhis,ARE AS PRAGMATIC AS THEIR COUNTERPARTS,in villages anywhere else in the world,1
astrologers,GIVE AUTHORITATIVE ADVICE ON,the propitious time and manner for starting any enterprise,1
gompas,HAVE A STANDARD PROCEDURE FOR,performing some particular propitiatory puja,1
oracles,SPEAK WITH THE VERY VOICE OF,the spirit,1
matho gompa,IS FAMOUS FOR ITS ORACLES,in ladakh,1
spirits,ARE FEARED AS BEING CAPRICIOUS AND NOT NECESSARILY BENEVOLENT,by the chosen receptacle,1
ladakhis,SEE,cultural spectacles,1
westerners,BE,disconcerted by the intensity of the psychic power,1
they,BE,cured of their ailments,1
ladakh,HAVE,accounts a hundred years ago,1
frederic drew,SAY,"that while tea is a favourite beverage, most people are too poor to be able to afford to drink it every day.",1
ladakhis,HAVE,rooted objection to washing,1
outsiders,PROBABLY ONLY,take regular and frequent baths,1
da-hanu dards,POSSIBLY OF THE,chang-thang nomads make an effort to keep themselves acceptably clean,1
ladakhis,MAKE,effort to keep themselves acceptably clean,1
goncha,BE,their sole garment,1
men,DISCARD,in favour of western-style dress,1
women,WEAR,goncha over a complete salwar-kameez suit,1
ladakhi woman,WORE,perak,1
ladakhi woman,CARRIED,fortune on her head,1
ladakhi lady,HAD,goncha,1
ladakhi lady,WORE,brocade mantle,1
ladakhi lady,ADORNED,heavy strings of jewelry,1
chuba,CHOSEN,semi-formal wear by the ladies of leh,1
perak and hat,WORN,on formal occasions,1
goncha,COMPLEMENTED,dupatta,1
women's goncha,HAD,skirt made of strips of woollen material,1
muslim communities,CONFORM,prevailing fashion,1
men,WEAR,goncha,1
kargil muslim woman,WEARS,woollen kurta,1
ladakhis,SHOW,natural aesthetic sense,1
villages,BLEND,landscape,1
houses,DELIGHT,eye,1
ladakhis,RETAIN,flat-roofed houses,1
builders in ladakh,RETHINK,roofing methods,1
ladakhi nouveau riche,BUILDING,new houses and hotels,1
ladakh ecological development group,WORKING_TO_POPULARIZE,solar energy,1
most ladakhi houses,GIVING_EVIDENCE_OF,innate good taste,1
ladakhi home,HAVING_CENTER,kitchen,1
kitchen,HOLDING,array of pots and utensils,1
gur-gur,BEING_USED_FOR,mixing butter-tea,1
wood-burning stove,BURNING_CAKES_OF,dried animal-dung,1
primus-type stove,BURNING,kerosene,1
gas cylinder,INTRODUCED_INTO,leh and kargil,1
the ladakhi language,BE,a dialect of tibetan,1
most visitors,BE UNFAMILIAR WITH,the ladakhi language,1
people with whom the traveller comes in contact,HAVE A SUFFICIENT GRASP OF,hindustani,1
leh muslims,SPEAK,a very chaste urdu,1
many people,BE FLUENT IN,english,1
overseas visitor,FIND NO MORE DIFFICULTY ABOUT LANGUAGE IN,ladakh than anywhere else in india,1
outsiders,NO LONGER EXCITE MUCH CURIOSITY IN,leh or the villages on the beaten track,1
early tourists,DO LITTLE SERVICE BY OFFERING,handouts to ladakhi children,1
ladakhis,ARE PERHAPS STIMULATED BY,the climate of their land,1
every family event,BE THE PRETEXT FOR A CELEBRATION,with song and dance,1
men and women alike,CONSUME GREAT QUANTITIES OF,chang,1
ladakhi buddhist,LEARN,the dances from childhood,1
every dancer,MUST APPLY UNCOMPROMISING STANDARDS TO APPRAISE AND CRITICIZE,their performance,1
gur-gur tea,BE THE CHARACTERISTIC BEVERAGE OF,ladakh,1
tibetan peoples,CONSUME IN ONE FORM OR ANOTHER,butter-tea,1
ladakhis,ARE PARTICULAR ABOUT USING,fresh butter,1
gur-gur tea,BE MADE WITH,well-boiled infusion of tea,1
ladakhis,DRINK IN ENORMOUS QUANTITIES,thirty or forty cups a day,1
ladakhi house,HAS FORMALITY ABOUT,drinking of chang or gur-gurtea,1
guest,IS SITTING ON,carpet-covered divan,1
chogtse,IS IN FRONT OF,guest,1
ladakhis,PRACTICE,archery and polo,1
leh area,IS POPULAR FOR,football,1
shamianas,SHELTER,crowd decked out in sunday best,1
men,ARE SOBER YET STYLISH IN,smartest gonchas,1
women,ARE COLOURFUL WITH,brocade mantles and heavy strings of jewellery,1
ladakh,HAS FORM OF ISLAM THAT FROWNS ON,music and dancing,1
archery festival,IS ACTUALLY WHAT ITS NAME IMPLIES,shooting itself,1
leh people,USE MAKESHIFT BOWS FASHIONED FROM,willow branches,1
kargil enthusiasts,USE HIGH CRAFTSMANSHIP MADE TO,very ancient design incorporating ibex horn,1
polo,IS INDIGENOUS TO,central asia and parts of the himalaya,1
early muslim rulers,INTRODUCED IT INTO,india,1
rajput states,PLAYED POLO AMONG RULING FAMILIES OF,some rajput states,1
british,DID NOT KNOW ABOUT,polo during early days of their rule,1
ladakh,PLAY,polo,1
hunza,PLAY,polo,1
nagar,PLAY,polo,1
chitral,PLAY,polo,1
gilgit,PLAY,polo,1
baltistan,PLAY,polo,1
peter fleming,SEE,hunza game,1
fleming,ADD,"'since he may legitimately be thwarted by any method short of a knife-thrust, this is not as easy as it sounds'",1
ladakh player,CATCH,ball,1
ladakh player,THROW,ball,1
team,SCORE,goal,1
field,SIZE,level ground,1
team,STRENGTH,good players,1
traveler,SEE,polo game,1
cunningham,SEE,mulbekh game,1
ladakh chronicle,RECORD,laying-out of a polo ground,1
travellers,SHOW,game being played,1
man,TOSS,ball,1
man,HIT,ball,1
ladakhi player,START/RESUME PLAY,game,1
non-ladakhi players,FIND IT DIFFICULT,starting/resuming play,1
polo,REQUIRE,degree of skill,1
drew,TESTIFY,enormous popularity in baltistan,1
sengge namgyal,INTRODUCE,polo to ladakh,1
murtse garden,BECOME,royal polo ground,1
others,AVER,that it was brought by the colony of baltis settled at chushot,1
chushot baltis,RETAINED,both their religion —  they are shia muslims to a man — and a clear consciousness of their own identity,1
they,HAVE,all the old balti enthusiasm for polo,1
chushot,HAS,its own polo ground,1
many,ARE,the finest players in and around leh are baltis from chushot,1
apart,SEEMS NOT TO HAVE CAUGHT ON IN A BIG WAY IN BUDDHIST LADAKH,polo,1
polo,IS PLAYED,only in those parts of the district that have a muslim population,1
the villages of turtuk and bogdang,PLAY,polo,1
in kargil district,PUT A DAMPER ON THE GAME,the austere rule of the muslim clerics,1
dras,CAN PUT AS MANY,24 teams in the field,1
ladakh,REVIVED,"polo from the mid-1970s, thanks to positive steps taken by the district administration",1
exhibition and tournament matches,HAVE BEEN HELD REGULARLY,since then,1
the leh polo club,HAS SECURED AFFILIATION TO,the indian polo association,1
the presence of the army,GIVES,a sharpened interest to the game,1
polo,HAS BEEN ALMOST EXCLUSIVELY AN ARMY PURSUIT,in post-independence india,1
the army,USED TO FIELD TEAMS MADE UP OF PLAYERS,of the international game,1
the ladakh scouts,ARE ALMOST EXCLUSIVELY DRAWN FROM,the local unit,1
nam­gyal tsemo,CROWNING THE PEAK BEHIND IT,the temple and ruined fort,1
players of suma and daman,STRIKE UP SPECIAL POLO MUSIC,to celebrate every goal,1
the chushotis and others,MAKE UP THE LOCAL TEAMS,"are for the most part small farmers, or school masters, or shop-keepers, or are employed in the various departments of the district administration as office messengers, drivers or syces",1
tibet,IS SEPARATED FROM LADAKH ONLY BY A MATTER OF DISTANCE,some 1500 kilometres,1
ladakhi scholars,ADAPTED,tibetan script,1
periodical,USES,colloquial tongue,1
secmol,ORGANIZES,students’ educational and cul­tural movement of ladakh,1
ladakh,DEVELOPED,educational and cultural development,1
tibetan influence,REMAINED,paramount in religious culture,1
mon musicians,PLAYED,surna and daman,1
ladakhi women,DANCED,to the strains of surna and daman,1
monasteries,INHIBITED,local initiatives in developing distinctive forms,1
religion,HAD A CENTRALIZING TENDENCY,organization,1
line of kings,NEVER LOST SIGHT OF,the fact that it was an offshoot of the ancient tibetan dynasty,1
buddhism,REMAINED A LIVING RELIGION,in india,1
central and western tibet,LOOKED FOR INSPIRATION,to the fountainhead of their faith,1
fountain of faith,DRIED UP,about the twelfth century,1
kings of the first dynasty,FOSTERED,the development of a kind of pontifical authority,1
novices,WERE SENT TO MONASTERIES,in central tibet to get their higher qualifications,1
ladakhi monasteries,WERE AFFILIATED,to one or other of the monastic orders of central tibet,1
tibetan pontiffs,CLAIMED,authority,1
chief monasteries,SEEMS,confined to doctrinal matters,1
ritual and iconography,EXTENDED,to the smallest details,1
cultural forms,DEPENDENT,on religion,1
tibetan style,REFLECTED,in the work of art in the gompas of ladakh,1
rangdum gompa,SILHOUETTED,against one of the typically striated mountains,1
shayok and nubra valleys,MEETING,at tegur,1
leh,SEEN,across the polo ground,1
kyang,TIBETAN WILD ASS,on the grasslands of rupshu,1
hoshiarpur,FAMILY TRADED,between yarkand and the punjab from the beginning of the century,1
bactrian camel,CARRIED,loads of 300 kilograms on the mountain trails,1
te-suru,VILLAGE WEAVER AT WORK,in the suru tsampa,1
mulbekh,WHERE BUDDHISM AND ISLAM MINGLE,the earthen walls of the unpretentious mosque,1
skara,LOCATION_OF,leh,1
office worker,CARRY,load of fodder,1
children,GO_HOME_FROM,school,1
lamayuru,ROADHEAD_FOR,zanskar trek,1
ponies,TRANSPORTATION_MEAN,mountain trails,1
trucks,FILL,roads,1
ladakhi pashmina,COMPARE WITH,genuine cashmere,1
kashmiri women,DEVELOPED SKILL,hand-spinning,1
ladakh,HAS,private co-operatives of local women,1
government-sponsored district weaving centre,SELLS,shawls at less than half the price,1
ladakhi women,KNIT,european-style with wool wound round left hand,1
village women,OCCUPIED WITH,spinning wool for village weavers,1
leh handicrafts centre,HAS,design department and embroidery department,1
tibetan refugee camp at choglamsar,MANUFACTURES,finer carpets,1
metal objects,HAVE ALWAYS BEEN,a universal necessity,1
gara,FORM A DISTINCT COMMUNITY,of which a few members are to be found in virtually every village of ladakh,1
blacksmiths,ARE,to be found in virtually every village of ladakh,1
copper or brass embellished with silver,APPLIED TO,prayer-wheels and other objects used in worship,1
"goldsmith community, sergar",FASHION MUCH OF THE ELABORATE JEWELLERY WORN BY,the ladakhi women,1
chiling people,ARE DESCENDED FROM FOUR CRAFTSMEN BROUGHT FROM,nepal to construct the gigantic buddha image at shey,1
four craftsmen,"MARRIED LOCALLY, AND WERE REFUSED PERMISSION TO RETURN TO",nepal with their wives,1
chiling people,"SELECTED CHILING, SITUATED ON A SOUTH-FACING LEDGE ABOVE THE ZANSKAR RIVER","which not only has a relatively mild microclimate, but also access to an abundant source of the wood they needed to turn into charcoal for their smelting operations",1
the shapely copper pots,SEEM TO BE OF A WORKMANSHIP RATHER SUPERIOR TO THAT OF THE LOCAL CRAFTSMEN IN MOST OTHER AREAS,none,1
ladakhi dance,BEAUTY,living tradition,1
ladakhi dance,PART OF,every ladakhi buddhist's training in the social graces,1
gompa music,FOLLOWS,tibetan forms wholesale,1
horn,PLAYED,on the ground a good way in front of the player's feet,1
geling,HEARING,more continuously,1
drums,BEATEN,with sticks in the form of question marks,1
secular instrumental music,DERIVED FROM,tibet,1
flute,PLAYED,on important public occasions and ceremonial private occasions,1
