Source,Relation,Target,Weight
prangos,COMMON WILD PLANT,kashmir,1
fort of dras,LOCATION,"10,000 feet above the sea",1
dras,SITUATION,open plain,1
higher mountains,DISTANCE,several miles,1
fort of dras,LOCATION,bank of a little stream,1
dras river,JOIN,other river,1
road to the pass,USE,little or none,1
plain,CONTRACT,narrow valley,1
river,BECOME,very rocky,1
maten,LOCATION,base of a steep scarped mountain,1
maten,ELEVATION,"10,700 feet above the sea",1
zoji pass,CROSS,kashmir,1
valley of the sind river,LOCATED,sind river,1
valley of the sind river,CONTAINS,snow,1
river,COVERED,snow,1
path,CROSSED,sind river,1
crest of the pass,LOCATED,steep mountains,1
peaks,REACHED_HEIGHT,"at least 16,000 feet",1
hills,CONTAINS,patches of willow and juniper,1
road,APPEARED_LEVEL,to appearance quite level,1
valley,MADE_BENDS,several bends,1
pass,DESCENDED,down a bank of snow,1
descent,LASTED,two thousand feet below the summit of the pass,1
sind river,FLOWED,through the northernmost valley of kashmir,1
log-hut,LOCATED,on a level space separated by a little stream from pine-forest,1
baltal,CALLED,this first halting-place on the kashmir side of the zoji pass,1
pines,CONSISTED_OF,pinus excelsa,1
trees,GREW_IN,well defined masses of forest,1
mountains,HAD,steep cliffs,1
ravine,HAD,an avalanche,1
river,WAS_BLOCKED_BY,snow,1
sind river,BENDS_ABRUPTLY_TOWARDS,south,1
forest,HAD,pine and silver fir,1
silver fir,WAS_A_TYPE_OF,picea webbiana,1
the elevation of the village,IS ABOVE,the level of the sea,1
sonamarg,DESCENT FROM,the level of the sea,1
hazel (corylus lacera),WAS IN FULL FLOWER,without leaves,1
viburnum,WAS IN FULL FLOWER,without leaves,1
gagangir,WAS THE FIRST VILLAGE OF KASHMIR,by the route,1
dras porters,WERE ENABLED TO RELIEVE,the author (me),1
sind river,WAS CROSSED,twice during the day,1
the mountains on the left hand,WERE WELL WOODED TO THE SUMMIT,the forest,1
ravines,HAD SNOW IN PATCHES,earlier in the day,1
valley,HAD CULTIVATED LAND AND ORCHARDS,increased in extent,1
fruit-trees,WERE PRINCIPAL TYPES OF,"walnuts, apples, and apricots",1
cruciferæ,WAS A PREVAILING FAMILY,of plants in flower,1
tulip,WAS A PRETTY LITTLE TYPE OF,in flower,1
amygdalus,WAS AN ABUNDANT SHRUBBY SPECIES OF,on the hills,1
fothergilla involucrata,FORMED A DENSE COPPICE ON THE HILLS,of falconer,1
level ground,WAS INTERPOSED BETWEEN,mountains and the stream,1
terraced fields,WERE LAID OUT IN,rice cultivation,1
tussilago farfara,"WAS ABUNDANT, GROWING IN",gravelly places along the river,1
hepatica,WAS FOUND IN,shady woods,1
primula and androsace,WERE IN FULL FLOWER IN,more sunny places,1
ceratocephalus,WAS A VERY STRIKING NOVELTY ON,open sandy soil,1
"pinus excelsa, spruce, silver fir, and deodar",FORMED DENSE FOREST OF,higher hills,1
yew and juniperus excelsa,WERE FOUND WITH,many deciduous-leaved trees,1
sind valley,EXPANDED INTO THE OPEN PLAIN OF,kashmir,1
platforms,"WERE SEVERAL PLATFORMS, OR STEPPES, OF NEARLY LEVEL ARABLE LAND, ONE ABOVE ANOTHER, AND BELOW THEM",river flowed through a wide stony plain,1
mountains on the left,"GRADUALLY DIMINISHED IN ELEVATION, BECAME LESS COVERED WITH FOREST, AND AT LAST TERMINATED IN LOW RANGES OF HILLS",covered only with brush-wood,1
"apricot, pear, and cherry trees",WERE COMMON AND BURSTING INTO FLOWER IN,fine wood,1
villages,WERE NUMEROUS AND LARGE,plain of kashmir,1
cultivated ground,WAS RICHLY CULTIVATED AND MUCH GREATER THAN ANTICIPATED,plain of kashmir,1
cultivated lands,REST UPON,platforms or banks of alluvium,1
tibetan valleys,STRUCTURE IS DETERMINED AS THAT OF,platforms of a barren country,1
kashmir valley,ENTERED THE VALLEY,on the morning of the 22nd of april,1
sind river,TERMINATION OF THE VALLEY,did not at all come up to the expectations,1
town,LED OVER AN ELEVATED PLATFORM,"to ganderbal, which is about ten miles away",1
elephant,FORMED A PART OF THE CORTÈGE SENT TO RECEIVE,an expected visitor,1
sheikh bagh,A GARDEN ON THE BANKS OF,"the jelam, at its eastern extremity",1
jelam,SURROUNDED BY A LAKE ON THE NORTH,and by rugged and lofty mountains on all sides,1
river behat or jelam,VALLEY OF THE,"kashmir, which is surrounded on all sides by lofty mountains",1
those on the north,BE,bare and rugged,1
those which lie to the south,APPEAR,magnificently wooded,1
the mountains,RISE,above the level of perpetual snow,1
these mountains,BE,well cultivated in their lower parts,1
the south side of the valley,HAVE,many passes,1
those on the north side,BE,considerably more lofty,1
numerous transverse valleys,PENETRATE,into these mountains,1
the main chain,LEAD TO,the chenab valley and the plains of india,1
the east end of the valley,HAVE,a high pass,1
kargil and the indus,BE REACHED BY,from the valley of wardwan,1
kishtwar in the valley of the chenab,BE REACHED BY,from the valley of wardwan,1
the flat country or alluvial plain of kashmir,HAVE,about fifty miles in length and not more than ten or twelve miles wide,1
the river jelam,RISE AT,the east end of the valley,1
the level country,BE TRAVERSED BY,by the river jelam,1
the river jelam,FLOW WITH,a tranquil stream,1
the river jelam,BE NAVIGABLE,throughout the whole of the level country as far up as islamabad,1
plain,HAS_LOWER_LEVEL,surface of the river,1
plain,IS_COVERED_WITH,"rice-fields or with marshy lands, undrained and not under cultivation",1
karewah,YIELD_LUXURIANT_CROPS,wheat and barley,1
karewahs,GENERALLY_RUN_PARALLEL_TO,lateral streams which join the jelam,1
strata,CONTAIN_ABUNDANTLY_SHELLS_OF_THE_GENERA,lymnæa and paludina,1
branches,SEEM_TO_BE_FORMED_OF_THE_SAME_ROCK,same rock,1
wulur lake,APPEAR,similar,1
the sind river,JOIN,the jelam,1
marshy tracts,CONVERT,lakes,1
avantipura,HAVE,swamp,1
kashmir,HAVE,climate,1
the himalaya,INFLUENCE,the spring rains,1
india,EXTEND,kashmir,1
july and august,HAVE,showers and thunder-storms,1
the river,RISE,higher than the level of the lowest portion of the alluvial land,1
kashmir,HAVE,vegetation,1
celtis,NATIVE OF,western asia and eastern europe,1
kashmirian trees,FOUND IN,warmer valleys of the outer himalayas,1
"celtis australis, l.",SPECIES WHICH IS,native of western asia and eastern europe,1
fruit-trees,IN FULL BLOSSOM,at the time of my arrival in kashmir,1
wild vegetation,HAD MADE VERY LITTLE PROGRESS,only the earliest plants being in flower,1
spring flora,EMINENTLY EUROPEAN IN CHARACTER,"not only the genera, but many of the species, being identical with those of our own island",1
cruciferæ,MOST ABUNDANT NATURAL ORDER,none,1
draba verna,COLLECTED,none,1
capsella,COLLECTED,none,1
erysimum,COLLECTED,none,1
alliaria,COLLECTED,none,1
turritis glabra,COLLECTED,none,1
lepidium,COLLECTED,none,1
thlaspi,COLLECTED,none,1
alyssum,COLLECTED,none,1
sisymbrium,COLLECTED,none,1
lycopsis arvensis,COMMON FORM,none,1
lithospermum arvense,COMMON FORM,none,1
myosotis collina,COMMON FORM,none,1
scandix pecten,COMMON FORM,none,1
ranunculus philonotis,COMMON FORM,none,1
anagallis arvensis,COMMON FORM,none,1
euphorbia helioscopia,COMMON FORM,none,1
veronica,SEVERAL SPECIES OF,none,1
juniper (j. communis),MOST COMMON SHRUBBY VEGETATION,none,1
cotoneaster,MOST COMMON SHRUBBY VEGETATION,none,1
rubus,MOST COMMON SHRUBBY VEGETATION,none,1
rosa webbiana,MOST COMMON SHRUBBY VEGETATION,none,1
zizyphus,MOST COMMON SHRUBBY VEGETATION,none,1
elæagnus,MOST COMMON SHRUBBY VEGETATION,none,1
daphne,MOST COMMON SHRUBBY VEGETATION,none,1
berberis,TWO SPECIES OF,none,1
pinus excelsa,ONLY PINES WHICH I SAW IN ANY PART OF THE OPEN VALLEY,none,1
city lake,ENVIRONS OF,kashmir,1
gardens of shalimar and dilawer khan,ENVIRONS OF,kashmir,1
pampur,ENVIRONS OF,kashmir,1
avantipura,ENVIRONS OF,kashmir,1
platforms of lacustrine clay,ENVIRONS OF,kashmir,1
mountain of wasterwan,ENVIRONS OF,kashmir,1
ancient city,ENVIRONS OF,kashmir,1
"clay, with shells and fragments of pottery",ENVIRONS OF,kashmir,1
ancient temple imbedded in clay,ENVIRONS OF,kashmir,1
lakes caused by subsidence,ENVIRONS OF,kashmir,1
islamabad,ENVIRONS OF,kashmir,1
shahabad,ENVIRONS OF,kashmir,1
vegetation,ENVIRONS OF,kashmir,1
vernag,ENVIRONS OF,kashmir,1
banahal pass,ENVIRONS OF,kashmir,1
valley of banahal,ENVIRONS OF,kashmir,1
pass above chenab valley,ENVIRONS OF,kashmir,1
nasmon,ENVIRONS OF,kashmir,1
"jhula, or swing-bridge",ENVIRONS OF,kashmir,1
balota,ENVIRONS OF,kashmir,1
ladhe ke dhar,ENVIRONS OF,kashmir,1
katti,ENVIRONS OF,kashmir,1
fort of landar,ENVIRONS OF,kashmir,1
mir,ENVIRONS OF,kashmir,1
kirmichi,ENVIRONS OF,kashmir,1
tertiary sandstones,ENVIRONS OF,kashmir,1
dhuns,ENVIRONS OF,kashmir,1
seda,ENVIRONS OF,kashmir,1
jamu,ENVIRONS OF,kashmir,1
the road,PASSES THROUGH,much cultivation,1
a scarlet poppy,IS COMMON AMONG,corn,1
adonis,IS COMMON AMONG,corn,1
the lacustrine formations,OCCUR,on the bank of the river a little west of pampur,1
the road,TRAVERSES,"an elevated plain, quite bare of trees, and only partially cultivated",1
transverse valleys,ARE FORMED BY,little streams which run towards the jelam,1
wasterwan,RISES TO A HEIGHT OF,"10,000 feet above the sea",1
umbelliferæ,ARE ABUNDANT IN,the lower parts of the open valley by which i ascended,1
a sharp ridge,IS GRASSY BELOW BUT VERY ROCKY ABOVE,along which i proceeded almost to the top,1
the hill,IS COVERED WITH A FEW PATCHES OF SNOW,on the northern face,1
the view from the top,WAS VERY FINE,the day being in every respect favourable,1
the summit,CONTAINS,spring flowers,1
primula,IS IN FLOWER,none specified,1
pedicularis,IS IN FLOWER,none specified,1
gentiana,IS IN FLOWER,none specified,1
leontopodium,IS IN FLOWER,none specified,1
corydalis,IS IN FLOWER,none specified,1
callianthemum,IS IN FLOWER,none specified,1
the northern slope of the mountain,HAS,wood of deciduous trees,1
birch,IS PART OF,wood of deciduous trees,1
cherry,IS PART OF,wood of deciduous trees,1
maple,IS PART OF,wood of deciduous trees,1
avantipura,HAS ANCIENT CITY,none specified,1
the neighbourhood of the village of avantipura,CAN BE STUDIED,lacustrine strata,1
avantipura,WAS FORMERLY THE SITE OF A VERY LARGE TOWN,none specified,1
the ancient city,HAS RUINS,heaps of stones,1
the mountain behind,IS FURROWED BY,numerous ravines,1
the place,WOULD APPEAR SINGULARLY INAPPROPRIATE AS THE SITE OF A LARGE CITY,none specified,1
the valley,WAS OCCUPIED BY ONE LARGE LAKE,none specified,1
the ancient city,STANDS UPON,lacustrine clay,1
the jelam,IS SITUATED ON THE BANKS OF,avantipura,1
beds of fine brown-coloured clay,CONTAIN,fragments of pottery,1
the bank of a small ravine,CONTAINS,shells,1
the clay,CONTAIN,broken pottery,1
the river jelam,HAVE,shells,1
the grassy hill-sides in the valley,HAVE,shells,1
the lake,CONTAINS,abundance of shells,1
the town of kashmir,MAKE,receptacle of refuse,1
the river,ACCUMULATE,deposit,1
cyrena,HAVE,valves,1
the ancient temple,EXIST,on the plain above the jelam,1
martand,HAVE,ruins on the elevated platform,1
the colonnade,BE,uninjured in any way,1
major cunningham,EXPOSE,three pillars,1
the lacustrine clay,CONTAIN,fragments of pottery,1
the temples,BE BURIED IN,lacustrine silt,1
the town,EXIST,at the same time with the lake,1
avantipura,HAVE A SUBSIDENCE OF THE GROUND,during one of the many earthquakes,1
subsidences,CONVERTED,the ground,1
river,DRAINED,lake,1
kashmir plain,APPEARS TO BE EXPLAINED BY,repeated partial subsidences,1
platforms,FORMED BY,streamlets and volcanic action,1
lakes,EXPLAINS THE DEPTH OF,river,1
valley,CONVULSED BY,violent earthquakes,1
peak of wasterwan,TERMINATES A LONG MOUNTAIN RIDGE,separating two large valleys,1
road,TRAVERSES,marshy tract,1
jelam,JOINS FROM BOTH SIDES,several streams,1
banks,ARE FRINGED WITH,willow and mulberry trees,1
bridge of islamabad,LIES NEAR THE LIMIT OF NAVIGATION,town,1
these formations,ATTAIN,thickness,1
the ancient temple of martand,BUILT,this platform,1
i,CROSSED,one branch of the jelam,1
the country,WAS,quite flat,1
numerous ditches or canals,TRAVERSED,rice-fields,1
fresh-water shells,SEEN,lymnææ,1
the country,BEGAN TO CHANGE,itself,1
another branch of the jelam,HAD,a broad channel,1
the road,BEGAN GRADUALLY TO ASCEND,a low range of hills,1
these hills,ARE COMPOSED OF,a very hard limestone,1
the valley of shahabad,IS WATERED BY,the principal branch of the jelam,1
the district,APPEARS TO BE ONE OF THE RICHEST IN KASHMIR,kashmir,1
the vegetation,CONTINUES THE SAME AS,further west,1
i,OBSERVED,a few common himalayan plants,1
the rice-fields,OCCURRED,several plains plants,1
vernag,LIES CLOSE TO THE MOUTH OF,a little lateral valley,1
the 297 fountain,CONTAINS,many fish,1
the 297 fountain,SUPPLIES,a considerable stream,1
the hills on both sides of the shahabad valley,CONSIST OF,limestone,1
the dip of the limestone rocks,IS,variable,1
the woods in kashmir,DO NOT INCLUDE,"oak, andromeda, and rhododendron",1
banahal pass,IS LOCATED AT THE SUMMIT OF,"not more than 10,000 feet above the sea",1
the road,KEEPS ON,the southern exposure,1
hills,BE,bare and rocky,1
forest,NOT CEASE,on account of elevation,1
opposite hill,HAVE,"shady wood, chiefly consisting of pines",1
pass,BE,depression in the ridge,1
crest of pass,BE,undulating and covered with green-sward,1
"corydalis, anemone, primula denticulata",BE,in flower,1
snow,OCCUPY,northern slope,1
view from summit,HAVE,been magnificent had the day been more favourable,1
valley of kashmir,BE,"covered with rice-fields and scattered villages, marked by groves of trees",1
banahal valley,BE,perfectly level plain,1
limestone,NOT BE SEEN,on the southern face of the pass,1
banahal river,JOIN,the valley,1
valley,BECOME,more gradual,1
villagers,BE BUSY,"ploughing, both bullocks and men knee-deep in soft mud",1
stream,BE FRINGED WITH TREES,narrower parts,1
hill-sides,STILL BE,quite bare,1
winter,BE,quite as severe as in kashmir,1
elevation,BE,a little greater,1
banahal,RIVER_OF,chenab,1
kashmir,DEPENDENCY,banahal,1
nasmon,LOCATION,right bank of the chenab,1
banahal river,COURSE,chenab,1
valley of the banahal,BOUNDED_BY,spurs,1
sources of all lateral valleys,ELEVATION_OF,8000 feet above sea level,1
banahal valley,LEVEL_AND_COVERED_WITH,fine forest,1
river banks,BECOME_ROCKY,none,1
road,ASCEND_ON_RIGHT_BANK,hill-sides,1
plants of the warmer zone,MEET_LATERLY_WITH,some familiar plants,1
pinus longifolia,FORM_DRY_WOODS,none,1
temperature,CONSIDERABLY_LOWER_THAN,in the sutlej valley,1
rhododendron arboreum,FORM,simla woods,1
andromeda ovalifolia,FORM,simla woods,1
hoary oak,FORM,simla woods,1
deodar-trees,BE,grove,1
fothergilla,BE,tree,1
silver fir,DESCEND,lower level,1
chenab river,FLOW,valley,1
banahal river,SURROUND,mouth,1
snowy peak,RISE,height,1
pinus longifolia,GREW,hill,1
"daphne, pomegranate, olive, vitex negundo, colebrookea, rottlera, sissoo, adhatoda vasica, celastrus, acacia modesta, lebbek, bauhinia variegata",MADE APPEARANCE,succession,1
"celastrus, acacia modesta",ARE PLANTS,plains of the western punjab,1
granitic axis,HAS,range parallel to the chenab on the north,1
boulders of granite,WERE COMMON,upper part of the ascent on both sides of the pass,1
fine-grained gneiss,WAS EXPOSED,north face,1
"mica-slate, with garnets",OCCURRED,bed of the banahal river,1
clay-slate,OCCURRED,bed of the banahal river,1
nasmon,IS A VERY LARGE BUT SCATTERED VILLAGE,none,1
"plane, orange, apricot, and pear trees",GREW,gardens,1
melia azedarach,AND A FEW TREES OF THE EUROPEAN CYPRESS,gardens,1
chenab,CROSSED,bridge about a mile above nasmon,1
rocks,FORMED,bed of the river,1
jhula,IS THE SIMPLEST FORM OF,bridge,1
nerium odorum,GREW,banks of the river,1
tropical plants,EXHIBITED,vegetation along the river,1
himalayan pear,TYPE_OF,plant,1
rosa brunonis,TYPE_OF,plant,1
myrsine bifaria,TYPE_OF,plant,1
jasminum revolutum,TYPE_OF,plant,1
olea cuspidata,TYPE_OF,tree,1
zizyphus,TYPE_OF,plant,1
pinus longifolia,TYPE_OF,tree,1
quercus lanata,TYPE_OF,tree,1
barley,TYPE_OF,crop,1
wheat,TYPE_OF,crop,1
opium poppy,TYPE_OF,crop,1
safflower (carthamus tinctorius),TYPE_OF,crop,1
deodars,TYPE_OF,tree,1
the stream,OCCUPIED,centre of the valley,1
sycamore,WERE ABUNDANT,on the banks,1
pinus excelsa,WERE FOUND,on the slopes,1
picea,WERE FOUND,on the slopes,1
wheat,WAS CULTIVATED,at about 7000 feet,1
barley,WAS CULTIVATED,at about 7000 feet,1
the chenab,RAN THROUGH,in the direction of the upper valley,1
rugged mountains,ROSE BEHIND ONE ANOTHER,scarcely wooded on the slope exposed to view,1
holly-leaved oak,WAS THE CHIEF TREE,in the forest,1
silver fir,INTERMIXED WITH,a few fine yews,1
viburnum nervosum,WAS FOUND,underwood here,1
primula denticulata,WAS COMMON,on the crest of the range,1
gentian,EXTENDED ON BOTH SIDES,at least 2000 feet lower,1
callianthemum,WAS FOUND,on the summit of wasterwan in kashmir,1
quercus semecarpifolia,WAS SEEN,in the upper part of the forest,1
pines,WERE REPLACED BY,the holly-leaved oak,1
sandstone rock,OCCURRED UNINTERRUPTEDLY,"partly of a reddish-brown colour, partly grey or nearly white",1
landar,WAS BUILT ON,an almost isolated cliff,1
the bed of the chenab,WAS AT AN ELEVATION OF,about 3000 feet,1
the descent,LED DOWN,the face of a mass of clay,1
masses of alluvium,HAD OCCURRED,throughout the whole of the descent from katti,1
pines,GREW ON,this steep bank,1
shrubs,WERE AGAIN MET WITH,on this steep bank,1
stream,WAS FILLED WITH,large water-worn boulders,1
i,AGAIN ASCENDED TO,"about 5000 feet, chiefly among cultivation",1
village,WAS CLOSE TO THE CREST OF THE MAIN RANGE SOUTH OF THE CHENAB,mir,1
andromeda ovalifolia,WAS NOTICED,on this steep bank,1
rhododendron arboreum,WAS NOTICED,on this steep bank,1
fothergilla,WAS OBSERVED AT INTERVALS,at the crest of this range,1
gentian,WAS FOUND,on the summit of the pass,1
astragalus,WAS FOUND,on the summit of the pass,1
valley,GRADUALLY WIDENED AS I ADVANCED,in a southerly direction,1
villages,BECAME FREQUENT,and were surrounded by extensive cultivation,1
temperate vegetation,DISAPPEARED,entirely,1
i,ENCAMPED AT THE VILLAGE OF KIRMICHI,where the valley which i was following appeared to expand into an open plain of some width,1
oranges,WERE CULTIVATED IN GARDENS,at the village of kirmichi,1
mulberries,WERE CULTIVATED IN GARDENS,at the village of kirmichi,1
toon and mango,WERE PLANTED IN GROVES ROUND THE HOUSES,at the village of kirmichi,1
pipal and banyan,WERE PLANTED IN GROVES ROUND THE HOUSES,at the village of kirmichi,1
i,CONTINUED MY JOURNEY TOWARDS THE PLAINS OF THE PUNJAB,on the 17th of may,1
open plain,COMPOSED_OF,soft sandstone,1
sandstone,DIFFER_IN_APPEARANCE,red or grey sandstone,1
sandstone of open plain,BELONG_TO,sewalik tertiary formation,1
red sandstone,BELONG_TO,western himalaya,1
pine-trees,GROW_IN,open valley,1
euphorbia pentagona,GROW_IN,open valley,1
fern,COMMONLY_FOUND_ON,shady rocks along the stream,1
oleander,GROW_NEAR_WATER,stream,1
dwarf date-palm,OCCUPY_DRY_SPOTS,dhun,1
cassia fistula,SEEN,this dhun,1
sandstone range,HAVE_AN_ANTICLINAL_AXIS,strata,1
banyan-tree,GROW_ON_TOP_OF,summit of sandstone range,1
river,FLOW_IN,wide channel several hundred feet below the level of the plain,1
seda,LOCATED_AT,sandstone range,1
jam,TRAVEL_DESTINATION,town of jamu,1
tawi,RIVER_JUNCTION,third valley,1
jamu,BUILT_ON,outermost range of hills,1
hills,RISE_FROM,plains,1
jungle,COVER,low thorny trees,1
acacia modesta,COMPOSE,jungle,1
catechu,COMPOSE,jungle,1
zizyphus,COMPOSE,jungle,1
cliffs,TERMINATE_IN,river tawi,1
maharaja gulab sing's residence,SITUATED_AT,edge of the cliff,1
town of jamu,LOCATED_AT,gentle slope,1
outermost range of hills,CONSIST_OF,loose conglomerate,1
district,CORRESPOND,lateral valleys,1
tawi,DO NOT CORRESPOND,direction,1
tawi,BOUND,mountain ranges,1
sewalik sandstone,ATTAINS,width of at least thirty miles,1
jamu,RETURN TO,tibet,1
lake of sirohi sar,FOUND,lower hills,1
dodonæa,VEGETATION OF,lower hills,1
ramnagar,GARTA,dadu,1
"camp at 10,000 feet",LOCATED NEAR,chenab valley,1
badarwar,PASS THROUGH,padri pass,1
sach joth,PASS THROUGH,mountain range,1
snow-beds,LOCATED IN,chenab valley,1
indian government,REQUEST PERMISSION FROM,return to tibet,1
tibet,VISITED,mountains north of nubra,1
zanskar,ROUTE THROUGH,high hills,1
chamba,LOCATED NEAR,hot valleys of the outer ranges,1
tawi,CROSSED BY FERRY,town below,1
road,FOLLOWED COURSE OF,ravines,1
ravines,EXCAVATED OUT OF,soft sandstone,1
tributaries,DESCEND TO JOIN,tawi,1
lake,LOCATED IN,sirohi sar,1
mango-trees,FOUND IN GROVE OF,sirohi sar,1
lake,ELEVATION,2200 feet,1
ridge,SURMOUNTS,low ranges of hills,1
lake,OCCUPIES,depression in the top of the ridge,1
hills,RISE TO,a few hundred feet,1
plain,INTERRUPTED BY,few regular rocky knolls,1
lake,SIZE OF,had formerly been more considerable than at present,1
country,VEGETATION OF,tropical character,1
hills,COVERED WITH,thinly scattered pines,1
grounds,PLANTS WERE IDENTICAL WITH,plains,1
tracts,PRODUCED A FLORA OF,different character,1
streams,BANKS OF,nerium odorum,1
lake,PRODUCED,great variety of water-plants,1
ridge,CREST OF,undulating valley below,1
valley,BOUNDED BY,third range of mountains and several streams,1
streams,JOINED THE TAWI,in a south-west direction,1
road,DESCENDED TO,plain,1
ravine,DEEP,walls,1
cliff,CAPPED THE,bed of coarse conglomerate,1
jam,EXTENSION,plant,1
sutlej,EASTERN_BOUND,plant,1
peninsula,HABITAT,plant,1
central india,RANGE,plant,1
hilly country,LOCATION,plant,1
sind,BOUND,plant,1
thalaura,DEPARTURE,ramnagar,1
ramnagar,DESTINATION,thalaura,1
range of hills,ASCENT,steep and rocky,1
made road,PAVING,large stones,1
range of hills,GEOLOGY,sandstone,1
euphorbia,ABUNDANCE,tree,1
astragalus,FREQUENCY,yellow spinous,1
indigofera,PRESENCE,species,1
valley,TERMINATION,mountains,1
tawi,SOURCE,mountains,1
road,DIRECTION,eastward,1
plants,APPEARANCE,himalayan forms,1
olea cuspidata,SIGHTING,lower down,1
alder,GROWTH,shady ravines,1
fragaria indica,COEXISTENCE,trichodesma and solanum jacquini,1
pata,ELEVATION,7500 feet,1
simla hills,VEGETATION,identical with that of the forest and on the open tracts,1
"oak, rhododendron, and andromeda",CONSIST OF,forest,1
picea webbiana (pindrow),APPEAR TO BE,pines at the very top of the ridge,1
village,SIZE,considerable,1
wheat cultivation,EXTENSIVE AND LUXURIANT,"full ear, but still quite green",1
glabrous holly-leaved oak,SCATTERED AMONG THE FIELDS,trees with an erect poplar-like trunk,1
chenab,TRIBUTARY OF,running towards the north-west,1
picea,APPEAR,trees on the south face of the ridge,1
pass,CREST OF,fine forest,1
dadu,ELEVATION,about 6800 feet,1
village,SITUATED ON THE EDGE OF A SMALL OPEN PLAIN,luxuriant crops of wheat,1
viburnum nervosum,OCCUR,vast quantity,1
spiræa lindleyana,OCCUR,vast quantity,1
torrent,BE,rocky and rapid,1
forest,BE,very fine,1
road,CROSS,stream,1
bank,RENDER,necessary to ascend,1
road,ASCEND,1000 feet,1
bed of the stream,RISE,rapidly,1
quercus semecarpifolia,BE,prevailing tree,1
ravines,HAVE,snow,1
road,LIE,along the right bank,1
peak,LIE,south-east,1
rock,BE,clay-slate,1
rock,SUCCEED,gneiss,1
vegetation,BE,common one or two thousand feet lower,1
road,LIE,over undulating grassy ground,1
primula rosea,APPEAR,hollow marshy spots,1
badarwar,HAVE,vegetation,1
badarwar,BE SIMILAR TO,valley of the one which i had just left,1
quercus lanata,NOT OCCUR,in the valley of badarwar,1
fothergilla,OCCUR PLENTIFULLY IN,woods on the hill-sides,1
kashmir daphne,BE COMMON,open exposed sunny places,1
zizyphus,BE COMMON,open exposed sunny places,1
philadelphus,OCCUR IN,shady ravines,1
nima of hamilton,OCCUR IN,shady ravines,1
badarwar,HAVE TWO ROADS,to chatargarh on the chenab,1
chenab,BE DRAINED BY,districts,1
ravi,BE DRAINED BY,districts,1
padri pass,BE A DEPRESSION IN THE RANGE,which separates districts,1
fields of barley,BE RIPE,in the valley,1
fields of wheat,STILL BE GREEN,in the valley,1
valley,HAVE AN ELEVATION,"of 10,000 feet",1
road,LIE ON THE RIGHT BANK,of the stream,1
ridge or spur,BE COVERED WITH A FINE FOREST,on its steep northern face,1
picea,EXCEPTION,pines,1
pines,OCCURRENCE,horse-chestnut,1
pines,OCCURRENCE,cherry,1
pines,OCCURRENCE,elm,1
pines,OCCURRENCE,celtis,1
pines,OCCURRENCE,populus ciliata,1
pines,OCCURRENCE,holly-leaved oak,1
rains,INDICATION,heavy rains,1
climate,MODIFICATION,high and partially snowy range to the eastward,1
fields of wheat,CUTTING,by farmers,1
wheat,MATURITY,at deghi,1
climate,COMPARISON,badarwar,1
slopes,COVERAGE,trees and brushwood,1
road,ROUTE,buju,1
species,OCCURRENCE,sub-tropical belt,1
plants,MIXING,middle zone,1
pinus longifolia,COMMONALITY,buju,1
rock,PREVAILING,clay-slate,1
limestone,OCCURRENCE,dewar,1
river,DIRECTION,north-east,1
valley,TURNING,north-east,1
snowy range,TOWARDS,which,1
road,ASCEND,the valley,1
hill-sides,SPARINGLY WOODED,though,1
oaks,INTERSPERSED WITH,"horse-chesnut, laurels, and celtis",1
mountains,TIPPED WITH,snow,1
atmosphere,HAZY,as is usually the case in the himalaya during the dry season,1
vegetation,STILL ENTIRELY THAT OF THE MIDDLE ZONE,the hills were bare and open,1
road,ASCEND RAPIDLY THROUGH A WOOD,of small trees of holly-leaved oak,1
corn,"ABUNDANT, AND APRICOT-TREES WERE COMMONLY PLANTED",among the corn,1
indigoferæ,LUXURIANT UNDERGROWTH,"of spiræa lindleyana, and philadelphus",1
vine,"COMMON, CLIMBING UP",the trunks of the trees,1
open glades,COVERED WITH,luxuriant herbaceous vegetation of dock and other rank plants,1
forest,CHIEFLY COMPOSED OF PINES,on the opposite and shady side of the valley,1
ravines,NOW ALL FULL OF SNOW,the oaks were still in flower,1
rhododendron campanulatum,BEAUTY,our northern indian mountains in early spring,1
the hills,COVER,"birch; rhododendron lepidotum, gaultheria trichocarpa, deutzia corymbosa, willows, and many other alpine shrubs",1
the open spots,ADORN,"the brilliant flowers of primula denticulata, corydalis govaniana, gagea, caltha, and other plants",1
the opposite spurs,RISE,up to the limit of forest,1
the road,ASCEND,a bare steep slope,1
rhododendron campanulatum,GROW,"with a cherry, and a birch",1
the shrubs,COVER,almost impenetrable from the prostrate position which their branches had taken from the pressure of the winter's snow,1
this dense covering,CONFINE,to the lower part of the slope,1
the road,RISE,"above its level, and continued obliquely along the face of the bare grassy hill",1
the alpine vegetation,BE,extremely luxuriant and beautiful,1
i,ASCEND,rapidly over snow,1
ridge,CONSIST_OF,black slate rock,1
ridge,HAVE,highly inclined strata,1
ridge,ABSORB,heat from the sun,1
ridge,SUPPORT,minute plants,1
primula minutissima,OCCUR,ridge,1
draba,OCCUR,ridge,1
ranunculus,OCCUR,ridge,1
potentilla,OCCUR,ridge,1
moss,OCCUR,ridge,1
lichen,OCCUR,ridge,1
view,BE,extensive to the southward,1
wind,SPRING_UP,from the south,1
clouds,DRIFT_OVER,crest,1
