Source,Target,TotalWeight,Relations
parmar and his associates,their mass base was being eroded,1.0,found
the rulers of the different hill states,the inevitability of political changes,1.0,realised
"bushahr, sirmaur, mandi, nalagarh, bilaspur",merging their hill states as separate entities within the indian union,1.0,aimed
parmar,"to hiralal shastri, general secretary, aispc, delhi",1.0,wrote
verma,the emergence of himachal pradesh: a survey of constitutional developments,1.0,published
letters from satyadev bushahri,many references to the hurried elections,1.0,contained
after independence,region,1.0,divide
praja mandals,boundaries,1.0,transcend
rulers,hold on population,1.0,maintain
parmar and padamdev gautam group,himalayan prant,1.0,propose
rulers,special powers,1.0,promise
sections of the rulers and all india states' peoples' conference,attempt,1.0,encourage
praja mandals,solitary path,1.0,drift
rulers of the hill states,constitutional monarchies,1.0,form
parmar group,new leadership,1.0,power_sharing
praja mandals,states' police,1.0,repression
praja mandal activists,by states' police,1.0,arrested
raja of suket,with newly formed provisional government,1.0,merger
simla hill states sub-regional council,himalayan prant provisional government,1.0,formation
sutlej basin,dhauladhar range,1.0,boundary
suket,'balh' and mandi and bilaspur,1.0,linked to
suket,the flat plain called ‘balh’ which linked it to mandi and bilaspur,1.0,comprised
satyagrahis,"mandi, simla and suket’s northern tip, tattapani",1.0,move in from
suket,the region which comprised the simla hill states sub-regional council,1.0,geographically located at the centre of
leadership of the simla hill states sub-regional council,nothing,1.0,monitor events on an almost hourly basis
bilaspur and mandi,suket,1.0,borders with
nalagarh,suket,1.0,proximity to
rajas of these hill states,the suket and its proximity to nalagarh,1.0,made it a good example for
first party of satyagrahis,tattapani on 18th february,1.0,entered suket at
satyagrahis,"karsog, the second most important place in suket",1.0,took control of the town of
satyagrahis,nothing,1.0,"electrified the peasantry of the entire state, raised the morale of the praja mandal workers and sent panic into the administrations of the hill states"
suket,nothing,1.0,had swelled to five thousand within four days
another party of satyagrahis,nothing,1.0,entered suket from the south through the simla-kangra highway
parmar,nothing,1.0,received hourly reports of the unfolding events in suket through telephone and runners
government of india,nothing,1.0,acted swiftly
government of india,commissioner of kangra,1.0,executed
commissioner of kangra,one contingent of the army and one of the punjab armed police,1.0,helped
suket satyagraha,merger,1.0,set the ball rolling
hill states,merger,1.0,fell like ninepins to the demand for
bilaspur,indian union,1.0,got separate recognition as a type c state of
tehri garhwal,parmar group did not want to get swamped,1.0,was kept out of it since
satyadev bushahri group,without the support of tehri praja mandal and numerical strength,1.0,became further weakened
himalayan hill states' regional council,creation of state of himachal pradesh,1.0,became irrelevant
western himalayas,indian civilisational expanse,1.0,be_part_of
western himalayas,indian nation,1.0,integrated_with
himalayas,indo-gangetic cultures,1.0,imbibed_features_from
himalayas,tibet,1.0,imbibed_features_from
india,during_course_of_colonial_rule,1.0,constituted_as_country_and_nation
british indian empire,outside the civilisational centres,1.0,lie
indian historiography,of contemporary times,1.0,be
desai's book,stand that the indian nation was in the making during colonialism,1.0,take
sarkar's book,stand that the indian nation was in the making during colonialism,1.0,take
chandra et.al's book,stand that the indian nation was in the making during colonialism,1.0,take
nehru's book,concept of an 'ancient' indian nation,1.0,work with
raychaudhuri and datta's book,concept of an 'ancient' indian nation,1.0,work with
caste,strong structural similarity all across the sub-continent,1.0,retain
tribal communities,caste based terminology for their social heirarchies,1.0,borrow
this book,exercise,1.0,attempt
history of india under colonialism,usually based on a study of these civilisational centres,1.0,be
subaltern studies collective,attempts to focus exclusively on the history of areas outside of these,1.0,make
guha's book,most representative of this genre,1.0,be
arnold's study,the most representative of this genre,1.0,be
hardiman's book,the most representative of this genre,1.0,be
border zones,one undifferentiated category,1.0,be classified as
these areas,primarily as struggle against civilisational centres and elites,1.0,have their history retrieved
civilisational centres,"marginal, oppressed people",1.0,dominate and exploit
histories,as narratives of contestation with social formation of civilisational centres or colonialism,1.0,be written
india,referred to as,1.0,have territorial boundaries
western himalayas,second type of border zones,1.0,be studied as an area falling in
owen lattimore,historical contexts,1.0,influence understanding of borders
mountains,as a significant geographical feature,1.0,mark these types of borders
forests,but prone to erasure by growing population and expanding trade,1.0,form boundaries
himalayas,neighbouring riparian civilisations,1.0,remain relatively untouched by contact with
anthropological and sociological literature,concepts derived from the societies of the plains,1.0,use
concept 'caste',the door to scholars for the wholesale deployment of alien sociological concepts,1.0,open
nineteenth century british writers,the word ‘caste’ without much conceptual clarity,1.0,use
gerald d. berreman,term and concept of caste in his book,1.0,use
majumdar,polyandry in the western himalayas,1.0,study
"simla states, doon valley, kullu and kangra valleys",hierarchy of social status,1.0,exist
upper class,brahmins and rajputs (kshatriyas),1.0,consist
lower strata,innumerable social groups who form the artisan elements in the population,1.0,composed of
berreman,two-fold division in this region which runs along the lines of the khashas and the doms,1.0,accept
ritual purity,"significant role in the relations between the two castes, or their sub-castes",1.0,not play
berreman and majumdar,applying it as the central concept for understanding the region’s social structure,1.0,continue
the structure of their methodology,the present over the past,1.0,privilege
caste,the dominant form in which social identities were increasingly expressed by the himalayan peasant,1.0,become
this book,rather than one which engages in historiographical contestations,1.0,have deliberately been kept close to a traditional historical narrative which spends more time describing the facts and historical processes
the first two chapters of this book,"the deep points of divergence, both physical and social, between the western himalayas and the plains of north india",1.0,try and detail
processes,agriculture,1.0,played
transition,state,1.0,complete
north indian plains,romila thapar,1.0,describe
first millennium,process,1.0,begin
ganga valley,mid-first millennium b.c,1.0,be
himalayan peasants,demands,1.0,negotiate
clan,state,1.0,struggle
colonial state,historical stage,1.0,enter
himalayan peasant,negotiating changes,1.0,continue
region,centrality to the british colonial project in india,1.0,lose
british rule,here,1.0,stabilise
colonial officers,reform local society,1.0,itch
hindustan-tibet road,1850s,1.0,build
british settlements,more durable,1.0,establish
himalayan peasants,baggage,1.0,carry
british,"village sites or farmlands, local pastures or forests",1.0,encroach
village,homes in the valleys and british residences on the mountain tops and ridges,1.0,trek
british,established patterns of life,1.0,interfere
indian population,"people from the plains, some from bengal and madras presidencies",1.0,compose
colonial state,commercial forestry,1.0,introduce
british,territories from the gurkhas,1.0,conquer
royal asiatic society of bengal expedition,"extent, nature and commercial possibilities of the wood available in the western himalayas",1.0,report
british and other european traders,"valleys of the sutlej and yamuna at least, if the descriptions in h",1.0,log
loggers,logs down the big rivers,1.0,transport
rampur,bushahr,1.0,capital_of
mandi state,banks of the beas,1.0,capital_was_situated_on
british rule,social and political integration of the region,1.0,provided_enabling_tools_for
money,local economy and society,1.0,impacted_on
establishment of hill stations,social and political integration of the region,1.0,was_among_the_enabling_tools
education and new professions,the people,1.0,impacted_on
british government,daily workings and internal authority of the clans,1.0,ruled_directly_in_areas_where_the_hill_state_lapsed
hill stations,"officials, traders, educationists, political personalities and others from the different corners of the british indian empire",1.0,had_a_large_population_of_non-europeans
himalayan people,religious practices and social identities,1.0,integrate
hill stations,markets,1.0,nuclei for
peasant,young indian nation,1.0,presented with
aal clan,marriage type,1.0,refers to
asura,demon,1.0,literally refers to
athara thakurai,principalities,1.0,name given to
basa/bassa,king and immediate royal family,1.0,owned by
koli,betheu,1.0,synonym for
bhaichara,bowara,1.0,reciprocal labour given and received by members of
peasants,rulers and their agents,1.0,"refusal to accept orders from superiors, rebellion, and non-cooperation with"
clarifications,panchayat act,1.0,interpretations
grant-in-aid,1943,1.0,to panchayats
report,"officer, simla",1.0,on the work of assistant panchayat
classification,1939,1.0,of panchayats
agricultural facilities,simla district,1.0,and use of manure in
settlement report,himachal pradesh secretariat library,1.0,of ghund state
correspondence,"1833–1857, h.p. secretariat library, simla",1.0,relating to jubbal affairs
master chandramani kashyap,"mandi town, himachal pradesh",1.0,of bhagwan mohalla
deep chand tomar,"village shillai, district sirmaur, himachal pradesh",1.0,and his father
national archives of india,secret branch,1.0,foreign department
r/1/29/1950,20.07.1939,1.0,"letter from resident, punjab states to secretary, foreign department, government of india dated"
report on dhami firing,"27.07.1939, no. 2/39",1.0,dated
note by political agent,"06.02.1940, from resident, punjab states to political advisor, crown representative",1.0,dated
political agent,resident,1.0,to
c.u. aitchison,"a collection of treaties, engagements and sanads",1.0,author of
harriet georgiana maria murray aynsley,"an account of a three months tour from simla through bussahir, kunowar and spiti, to lahoul",1.0,author of
c,"memorandum on the district of bussahir, and the pacification of the disaffected portion of its inhabitants",1.0,author of
g.c. barnes,"kangra settlement report, 1850",1.0,author of
d. briggs,"report of the operations connected with the hindostan and thibet road, from 1850 to 1855",1.0,author of
e.j. buck,"simla: past and present, etc",1.0,author of
census of india,1881,1.0,report of
census of india,1891,1.0,report of
census of india,1911,1.0,report of
census of india,1931,1.0,report of
h. cleghorn,report upon the forests of the punjab and the western himalaya,1.0,author of
william coldstream,manuscript history of the punjab hill states,1.0,author of
william crooke,the tribes and castes of north western provinces and oudh,1.0,author of
a.h. diack,"revised settlement – kullu sub-division of kangra district, 1898",1.0,author of
robert henry wallace dunlop,hunting in the himalaya: with notices of customs from the elephant haunts of the dehra doon to the bunchowr tracks in eternal snow,1.0,author of
"economics and statistics department, himachal pradesh",himachal pradesh economy in figures: 1997,1.0,publisher of
emerson personal papers,"oriental and india office collections, british library",1.0,owner of
enquiry report on the land settlement of koti state,simla,1.0,report of
james baillie fraser,journal of a tour through part of the snowy range of the himala mountains and to the sources of the rivers jumna and ganges,1.0,author of
gazetteer of india,"imperial, new edition",1.0,publisher of
rules for the abolition of the custom of ‘reet’ in the simla hill states,the sub-committee of the durbars of the simla hill states,1.0,framed by
arnold and guha eds,"nature, culture, imperialism",1.0,eds
laxman s. thakur ed,where mortals and mountain gods meet,1.0,ed
archer ed,slavery and other forms of unfree labour,1.0,ed
"dumont, louis",homo hierarchicus: the caste system and its implications,1.0,wrote
"dutta, c.l",the raj and the simla hill states: socio-economic problems,1.0,wrote
"engels, frederick","the origin of the family, private property and the state",1.0,wrote
"febvre, lucien",'sensibility and history: how to reconstitute the emotional life of the past',1.0,wrote
"finley, m.i",the ancient economy,1.0,wrote
"fisher, james f",himalayan anthropology: indo-tibetan interface,1.0,wrote
"fisher, michael h",indirect rule in india: residents and the residency system 1764 – 1858,1.0,wrote
"foucault, michel",discipline and punish: the birth of the prison,1.0,wrote
"furer-haimendorf, christof von",himalayan tribes: from cattle to cash,1.0,wrote
"geertz, clifford",the interpretation of cultures,1.0,wrote
"ginzburg, carlo",cheese and the worms: the cosmos of a sixteenth century miller,1.0,wrote
"grove, richard","ecology, climate and empire",1.0,wrote
"guha, ramchandra",the unquiet woods: ecological change and peasant resistance in the himalaya,1.0,wrote
"guha, ranajit",a rule of property for bengal,1.0,wrote
"guha, ranajit",subaltern studies ii,1.0,edited
"gupta, jayoti",'himalayan polyandry: bondage among women in jaunsar bawar',1.0,wrote
"haber, daniel b",himalayan pantheon: a guide to the gods and goddesses of nepal,1.0,wrote
"hardiman, david",peasant resistance in india: 1858–1914,1.0,edited
"harnot, s.r",himachal ke mandir and un se judi lok kathayen,1.0,wrote
"hasnain, nadeem",bonded forever: a study of the kolta a cis-himalayan tribe,1.0,wrote
rodney h. hilton,medieval peasant movements and the english rising of 1381,1.0,wrote
e.j. hobsbawm,bandits,1.0,wrote
e.j. hobsbawm,primitive rebels,1.0,wrote
richard hodges,primitive and peasant markets,1.0,wrote
madhu jain,the abode of mahashiva: cults and symbology in jaunsar – bawar in the mid-himalayas,1.0,wrote
hariram jasta,himachal ki lok sanskriti,1.0,wrote
k.l. joshi,geography of himachal pradesh,1.0,wrote
pamela kanwar,essays on urban patterns in nineteenth century himachal pradesh,1.0,wrote
pamela kanwar,imperial simla,1.0,wrote
padam chandra kashyap,himachal sanskriti ka itihas,1.0,wrote
p.k. kaul,"himalayan principalities of jammu, kangra and badarwah",1.0,wrote
r.k. kaushal,himachal pradesh: a survey of the history of the land and its people,1.0,wrote
john keay,the explorers of the western himalayas 1820 – 95,1.0,wrote
alan knight,'debt bondage in latin america',1.0,wrote
dharma kumar,'caste and landlessness in south india',1.0,wrote
ravindra kumar,'the deccan riots of 1875',1.0,wrote
"language and culture department, himachal pradesh",himachal pradesh ke swatantrata senani,1.0,published
owen lattimore,inner asian frontiers of china,1.0,wrote
jacques le goff,"time, work and culture in the middle ages",1.0,wrote
n,himalayan polyandry,1.0,wrote
chaman lal malhotra,himachal ka krantikarik itihas,1.0,wrote
a. metcalf,'a concise history of india',1.0,wrote
poonam minhas,traditional trade and trading centres in himachal pradesh,1.0,wrote
"ministry of information and broadcasting, government of india",himachal pradesh,1.0,published
arun kumar mittal,'british administration in kumaon himalayas: a historical study 1815 – 1947',1.0,wrote
hari krishna mittoo,himachal pradesh,1.0,wrote
molnar,economic strategies and ecological constraints,1.0,published
mukhia,french studies in history,1.0,edited
negi,begar and beth system in himachal pradesh,1.0,wrote
negi,labour management under the feudalistic set up in himachal pradesh,1.0,published
noble,at home in the himalayas,1.0,wrote
panchani,himalayan tribes,1.0,wrote
panikkar,himalayas in indian life,1.0,wrote
pemble,the invasion of nepal,1.0,wrote
philpin,the brenner debate: agrarian class structure and economic development in pre-industrial europe,1.0,edited
coomar,"polyandry in india: demographic, economic, social, religious and psychological concomitants of plural marriages in women",1.0,edited
ram rahul,himalaya as a frontier,1.0,wrote
rathore,nineteenth century cis-sutlej hill states,1.0,wrote
rizvi,'class formation and conflict in a polyandrous village of himachal pradesh',1.0,wrote
rosser,'an aspect of the political organisation of malana',1.0,wrote
sadasivan,'the himalayas in early tamil literature',1.0,wrote
sahlins,stone age economics,1.0,wrote
said,orientalism,1.0,wrote
saklani,ancient communities of the himalayas,1.0,wrote
sarkar,modern india,1.0,wrote
sarkar,'bondage in the colonial context',1.0,wrote
scott,weapons of the weak: everyday forms of peasant resistance,1.0,wrote
shanin,peasants and peasant societies,1.0,edited
"singh, chetan","nature, culture, imperialism: essays on the environmental history of south asia",1.0,"'forests, pastoralists and agrarian society in mughal india'"
"singh, chetan",where mortals and mountain gods meet: society and culture in himachal pradesh,1.0,"'the dhoom in himachal pradesh: commuity consciousness, peasant resistance or political intrigue'"
p,where mortals and mountain gods meet: society and culture in himachal pradesh,1.0,'polyandry in himachal pradesh: a socio-cultural analysis and reflection'
"stokes, eric",the peasant and the raj,1.0,'return of the peasant to south asian history'
"verma, v",where mortals and mountain gods meet: society and culture in himachal pradesh,1.0,'transhumant communities of himachal pradesh'
ladakh,vigorous social and cultural identity,1.0,have
tibetan tradition,one component,1.0,be
the modern world,ladakh's social and cultural identity,1.0,erode
the visitor to ladakh,descriptions of places,1.0,benefit from
the book,indications as to what [the visitor] might keep his eyes open for,1.0,give
ladakh,"available to anyone with access to the literature of buddhism, or of central asian and tibetan travel",1.0,be
the author,to live there for some years,1.0,have been lucky enough
leh,home,1.0,be
sayeed rizvi,"development commissioner, or head of the district administration",1.0,be
the author and sayeed rizvi,wide knowledge of the country as it is today,1.0,acquire
ladakh,"single district, in area india's largest, in population one of its smallest",1.0,be
the author,in leh,1.0,live
kargil district,some particularly interesting regions,1.0,omit all mention of
zanskar,one of ladakh's most beautiful and isolated valleys,1.0,be
da-hanu,buddhist dards,1.0,pursue a way of life unique in the world
shagkar-chigtan,"a nominally muslim area rich in buddhist survivals, and with a wealth of oral literature unsurpassed anywhere else",1.0,be
friends,contribution,1.0,made
beera,passion,1.0,shared
t .k mitra,passion,1.0,shared
trevor morlin,passion,1.0,shared
camila perez,passion,1.0,shared
helena norberg-hodge,passion,1.0,shared
james crowden,passion,1.0,shared
tadzin joldan,passion,1.0,shared
abdul majid,on developing economy,1.0,briefed
prakash gole,to queries on bird life,1.0,replied
professor luciano petech,information on ladakh's history,1.0,provided
andrew roberts,material,1.0,chased up references
akbar ladakhi,unrivalled understanding of ladakh,1.0,freely and generously provided
pinto narboo,title,1.0,provided
joldan family,most generous hospitality,1.0,gave
abdul majid,gompa visits,1.0,organized
norbu rizvi,of duties usually expected of the bahu,1.0,absolved
joanna van gruisen,photographs,1.0,gave permission to use
andrew roberts,photographs,1.0,gave permission to use
jamal rizvi,photographs,1.0,gave permission to use
one school of thought,of the characteristically ladakhi qualities,1.0,laments the erosion
education on offer,"con­fidence, and their pride in their own culture",1.0,has done little to nurture
a very senior official of the government of india,the largely ladakhi membership of the seminar,1.0,commented on
jammu and kashmir directorate of tourism,"exhibiting a feel for ladakh’s unique qualities, and an awareness of the threat",1.0,has on the whole risen to the challenge
international association of ladakh studies,conference,1.0,meet
institute of ladakh studies,leh,1.0,setup
ladakhi participation,study,1.0,ensure
ladakhi scene,knowledge and insight,1.0,increase
original text of this book,new edition,1.0,revisit
trades of pre-modern ladakh,my own research,1.0,research
"chapter 6, 'hazardous trails'",summary findings,1.0,rewrite
scholars,bibliography under the head 'recent published works: academic studies',1.0,cite
john crook and henry osmaston,himalayan buddhist villages,1.0,edit
ladakh studies,1994,1.0,come of age
himalayan buddhist villages,information and insights,1.0,provide
polyandry and the pha-spun,chapter 8,1.0,analyze
ladakhi gompas and the villages,chapters 11 and 12,1.0,relate
people of ladakh,"generosity, time, effort, and hospitality",1.0,thank
"mrs kunzes razu, mrs tuma-le, and mrs sonam narboo",me with generous hospitality,1.0,host
"abdul ghani, asghar ali, and ghulam akbar",me around,1.0,drive
indian council for historical research,research,1.0,funded
he,trips to ladakh,1.0,financed
he,parts of the text,1.0,read
he,to the point,1.0,made suggestions
bactrian magpie,ladakh's most characteristic birds,1.0,characterize
kyang,"grasslands of rupshu, near tso-kar",1.0,exist
trader from hoshiarpur,door of his shop in leh's main bazaar,1.0,stand
bactrian camel,loads of 300 kilograms or more on the mountain trails of the kun-lun and the karakoram,1.0,carry
barley,"before being ground into tsampa, an instant pre-cooked food: trespon",1.0,roast
village weaver,te-suru in the suru valley,1.0,work
trapdoor,kitchen of a village home in central zanskar,1.0,illuminate
polo,in leh: an exciting and colourful occasion in a spectacular setting,1.0,happen
mulbekh,earthen walls of the unpretentious mosque sandwiched between a roadside chorten and the gompa perched on its crag,1.0,have
rangdum gompa,the warriors of the mythical kingdom of shambha-la do battle with the invader,1.0,show
stongde gompa,an unusually delicate wall painting of a goddess,1.0,have
mosque at leh,more ladakhi than islamic,1.0,have style
drilling-rig,groundwater of the highest purity close to the suru river at kargil,1.0,tap
bus,newly constructed prayer-wheel at a major intersection on the outskirts of leh,1.0,pass
traditional agriculture,low-cost polygreen-house at chiling,1.0,be supplemented by
office worker,with children on their way home from school at skara on the outskirts of leh,1.0,pause to chat
lamayuru,the zanskar trek,1.0,be roadhead for
ladakh,an enormous variety of landscapes,1.0,encompasses
landscapes,the great range of altitude,1.0,differences based on
chang-pa,south-east ladakh,1.0,nomadic herdspeople of the plateaux of
ladakh,expanded and shrank according to the relative power of its rulers and those of neighbouring countries,1.0,was for some nine centuries an independent kingdom that
ruling family,the aristocracy,1.0,bound together by a series of marriage alliances with
valleys,"shamma, from the sham ilaqa, the indus valley between leh and khaltse",1.0,"meshed to all the others in a network of local trades in subsistence goods carried on partly by occasional trading expeditions undertaken by the villagers themselves, and pardy by"
chang-pa,purig-pa in kargil,1.0,may differ markedly from that of
buddhism,single basic culture,1.0,is the bedrock of
ladakhis,buddhism,1.0,about half are critical importance to
non-buddhist communities,tolerance and compassion,1.0,are not entirely untouched by the characteristic buddhist values of
ladakh,"leh and kargil, and the classification of its people into a dozen different groupings under the rubric o f‘scheduled tribes’",1.0,no longer exists in any formal or administrative sense since its bifurcation into two districts
tibetan connection,ladakh,1.0,"is one which has fascinated many of the visitors and scholars, and it is referred to repeatedly in the pages that follow"
tibet,similar adapta­tions,1.0,share_environmental_conditions
countries,single architectural style,1.0,have_architectural_style
palace at leh,potala,1.0,antedate
monasteries,great monasteries,1.0,share_tradition
diet,"tsampa, change, butter-tea",1.0,contain
tibetan plateau,main crop of barley,1.0,produce
livestock,butter,1.0,provide
tea,china,1.0,imported_from
water-mills,grinding barley,1.0,use_in_common
irrigation system,tibetan plateau,1.0,use_in_region
ladakh,second spreading of buddhism,1.0,play_crucial_role
religious establishment,great monasteries of central tibet,1.0,subordinate_to
bogle,tibetan system of fraternal polyandry,1.0,describe
michel peissel,"mustang, the remote trans-himalayan province of nepal",1.0,find
peissel,"khang-bu, or ‘little house’",1.0,describe
elders of a family,headship of the family,1.0,retire
anthropological and sociological research,complex pattern involving varying forms of customs,1.0,indicate
tibetan cultural area,"customs till 1959, and perhaps still survive in remote parts of nepal",1.0,exist
villages of buddhist ladakh,polyandry and inheritance by primogeniture until at least the early 1940s,1.0,remain current
women,high status and complete emancipation,1.0,enjoy
tibetans,"people for what they are, and not primarily on the basis of their membership of a particular class, or sex",1.0,assess
ladakh,main interest for a large number of people,1.0,constitute
tibetans now living in ladakh as refugees,not even half-way home,1.0,feel
ladakh,untouched,1.0,remain
shamma traders,area,1.0,scoured
shamma,pattern,1.0,exemplify
ladakh,major entrepot,1.0,developed
leh,cosmopolitan air,1.0,developed
capital,mixed racial composition,1.0,reflect
town,speech,1.0,enrich
trade,character of the ladakhis and their society,1.0,contribute
francis younghusband,himalaya and central asia,1.0,knew
ladakh,individual style,1.0,evolve
music,distinct flavour,1.0,have
dance,essential part of buddhist social life,1.0,have
polo,western himalaya,1.0,exist
shia muslims,"chushot, a village",1.0,settle
ladakhis,lhasa for religious inspiration,1.0,look to
secular ladakhis,srinagar and the universities of british india,1.0,go to
moravian missionaries,modern world,1.0,bring
ladakh,integral part of indian polity,1.0,become
ladakh,china,1.0,strategic_importance
indian army and air force,western_and_central_ladakh,1.0,stationed
indian army and air force,east_and_south-east_of_ladakh,1.0,stationed
indian army and air force,pakistani_counterparts,1.0,facing
tibetan buddhism,other_cultures,1.0,spirit_and_atmosphere
old tibet,outsiders_except_traders_and_pilgrims,1.0,isolationism
ladakh,traders_from_kashmir_punjab_central_asia_and_tibet,1.0,welcoming
kashmiri traders,leh,1.0,settling
muslim families of dras and suru valley,migrants_from_baltistan_and_gilgit,1.0,originating_from
ladakh,unconnected,1.0,be
air from delhi,sense of unreality,1.0,create
ladakh,great altitude,1.0,have
traveller,gradual change,1.0,observe
vehicle,distance between the traveller and the landscape,1.0,put
traveller,cutting off from its sounds,1.0,regret
manali,major tourist destination,1.0,be
palchan,ascent up the slopes,1.0,start
pir panjal,major subsidiary of the great himalaya,1.0,be
rohtang pass,regarded with trepidation,1.0,be
upper lahul,valleys of the chandra and bhaga rivers,1.0,consist
the kulu style,deep wooden verandahs,1.0,has
the kulu style,slate or shingle roofs,1.0,has
houses,adobe bricks or stone cemented with mud,1.0,are constructed from
houses,flat roofs for storing winter forage,1.0,have
lahul,ladakh,1.0,is culturally linked to
lahul people,situation mid-way between kulu and ladakh,1.0,profit from
fields,seed potatoes,1.0,are devoted to the cultivation of
pir panjal and the great himalaya's southern flank,transhumant gaddi shepherds,1.0,are the summer destination of
road,the water,1.0,remains on the right bank
bhaga,bridge at patseo,1.0,follows
traders,salt and wool,1.0,barter
kulu and zanskar,"food-grains, tea and other essential commodities",1.0,bring
tea-stalls and hotels,seasonal entrepreneurs,1.0,exist
army and border roads organization,road,1.0,maintain
chang-pa,yak-hair tents,1.0,live
chang-thang,nomadic herdspeople,1.0,contain
tibet,northern plateau land,1.0,have
rupshu,south-eastern extremity of chang-thang,1.0,be
chang-pa goats,"pashm, or 'cashmere'",1.0,provide
kashmir shawl industry,raw material,1.0,use
road,left bank of bhaga at patseo,1.0,cross
bhaga,grazing ground of zingzingbar and source in suraj tal lake,1.0,follow
watershed of the great himalaya,bara-lacha-la pass,1.0,cross
road to leh,"northerly direction, down past glacial lakelets",1.0,carry on
travellers,this bleak lunar landscape,1.0,cross
tea-stall owners,basic services,1.0,provide
chang-pa,strict system of movement,1.0,follow
phalung danda,out of the plain,1.0,rise
the road,himachal pradesh,1.0,leave
yonam valley,tsarap,1.0,debound
great himalaya,glaciers,1.0,have
zanskar range,divide between the great himalaya and,1.0,mark
the road,tsarap,1.0,follow
sarchu,isolated rock,1.0,be
chang-pa,morey plain,1.0,set up camp
marmots,into their burrows,1.0,disappear
kyang,any attempt to examine them more closely,1.0,frustrate
indus basin,pass,1.0,reached
stream,road,1.0,joins
rumtse,ladakh,1.0,village
gya river,indus,1.0,flows
fields,barren mountain slopes,1.0,contrast
oasis village,bigger,1.0,becomes
willows,repeated pollarding,1.0,grow
gya stream,upshi,1.0,flows
river,gorge,1.0,snakes
leh,reasonable,1.0,drive
igu,right bank,1.0,bridge
karu,opens up,1.0,valley
chang-la,pang-gong lake,1.0,route
hemis,ladakh,1.0,gompa
stakna gompa,eminence,1.0,crown
road,villages,1.0,passes
ranbirpura,desert,1.0,carved out
tikse,fields,1.0,gompa
shey,occasionally,1.0,flooded
past choglamsar,tibetan refugee settlement,1.0,has
leh's outskirts,jeevan sthal,1.0,located_near
dalai lama's prayer enclosure,past choglamsar,1.0,located_at
travellers from srinagar,sonamarg,1.0,start_journey_from
road,zoji-la (3450 metres),1.0,ascends_to
tank crews,tanks,1.0,constructed_track_for
engineers,tanks,1.0,constructed_track_for
commanders,military problem,1.0,conceived_brainstorm_solution
kashmir landscape,ladakh's landscape,1.0,shared_characteristics_with
sind river,delectable valley,1.0,takes_right_angled_turn
stream,almost sheer ravine,1.0,flings_itself_down
village of baltal,confluence of sind river and stream,1.0,located_at
summer route,today's motor road,1.0,aligned_with
inner ladakh,heavy snowfall,1.0,experiences
travellers,driving between snow walls,1.0,find themselves
great himalaya,moisture-laden clouds,1.0,forms a barrier
zoji-la,ladakh,1.0,allows moisture-laden clouds to enter
dras valley,upland plateau,1.0,opens out into
dras river,road,1.0,follows
shingo stream,dras river,1.0,confluences with
suru river,south-east,1.0,comes in from
kargil,turning up the suru river,1.0,is reached after
ladakh,about 2500,1.0,has a population of
dras valley,fruit trees and crops,1.0,allows for a lush growth of
areas within reach of irrigation,two harvests a year,1.0,are thus intensively cultivated
kargil's main highway,main bazaar,1.0,runs slap through
indus river,from kargil,1.0,is not directly reached by the road
road,zoji-la,1.0,crosses two passes higher than
khurbathang plateau,by water diverted from wakha river since 1990,1.0,has been irrigated
newly irrigated land,among residents of surrounding villages,1.0,is laid out in large rectangular plots
road,khurbathang,1.0,descends
khurbathang channel,mountainside,1.0,contouring
concrete structure,'private enterprise' irrigation,1.0,contrast
gompa,crag,1.0,perches
rock engraving,villagers and tourists,1.0,watches over
road,wakha river,1.0,leaves
valley,pebbly river-bed,1.0,runs down the centre
ladakh,geological ages ago upheavals,1.0,undergone
approach to namika-la,mountainside,1.0,descend
road,kanji river,1.0,follows
fatu-la,central ladakh,1.0,gateway
balti army,king of ladakh,1.0,lay in wait
sengge namgyal,force sent from kashmir,1.0,met
road,kanji valley,1.0,turns into
ruined casde,opposite side of the river,1.0,stands
old fort,foot of the ascent to fatu-la,1.0,passes by
the indus,the sea near karachi,1.0,empty into
the shayok,into the indus,1.0,flow
the hunza,into the indus,1.0,flow
the gilgit,into the indus,1.0,flow
the chitral,into the indus,1.0,flow
the kabul,into the indus,1.0,flow
the panjnad,into the indus,1.0,flow
the arno,one of the medium-sized rivers of europe,1.0,be comparable to
every one of the rivers and streams,the immense river system of which this is the central artery,1.0,part of
the indus,the area extending from chitral in the north to the great indian desert in the south; from lake manasarowar in the east to the arabian sea in the west,1.0,drain
khaltse,the heartland of ladakh,1.0,enter
the road,a modern sikh temple dedicated to guru nanak,1.0,passes
the road,one more barren plateau,1.0,crosses
the valley,ahead into a broad plain,1.0,opens
the sun,into relief with long shadows every contour of the mountains rising on either hand,1.0,casts
the indus,in a number of channels through the wide bed it cut for itself in the alluvium brought down by its tributary torrents,1.0,meanders
spituk hill,a gompa just below the summit,1.0,has
leh,"eight kilometres ahead, a collection of flat roofs among trees",1.0,can be spied
the palace,the now-deserted palace,1.0,dominates
skara village,leh as to be almost a suburb,1.0,is near
a large chorten,the beginning of the city proper,1.0,marks
the main bazaar,along the surprisingly broad and gracious main bazaar of leh,1.0,lies
great himalaya,trough_of_zanskar_and_suru_valleys,1.0,falling_to
zanskar range,tibet_as_the_kailash_range,1.0,extending_into
ladakh range,pang-gong_range,1.0,giving_birth_to
